Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DWV;Eigner;Bemerkung;geopos;lod
FCK;Frick;2014-01-01;5000;6000.0;SBB;;47.5073437467, 8.01307225263;http://lod.opentransportdata.swiss/didok/8500305
GI;Giswil;2014-01-01;1100;1100.0;ZB;;46.8365341912, 8.18630914667;http://lod.opentransportdata.swiss/didok/8508312
EI;Eiken;2014-01-01;420;490.0;SBB;;47.5330359504, 7.98977700634;http://lod.opentransportdata.swiss/didok/8500304
EL;Elgg;2014-01-01;1600;1800.0;SBB;;47.4985287524, 8.86339187202;http://lod.opentransportdata.swiss/didok/8506014
MUEL;Müllheim-Wigoltingen;2014-01-01;560;640.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5881673349, 9.01550138775;http://lod.opentransportdata.swiss/didok/8506103
MRT;Murten/Morat;2014-01-01;1900;2000.0;SBB;Ohne TPF.;46.9253915414, 7.11537589102;http://lod.opentransportdata.swiss/didok/8504128
OB;Oberbuchsiten;2014-01-01;690;810.0;SBB;;47.3052431626, 7.77171069136;http://lod.opentransportdata.swiss/didok/8500213
NB;Niederbipp;2014-01-01;560;640.0;SBB;;47.2703963923, 7.69480825358;http://lod.opentransportdata.swiss/didok/8500211
NH;Neuhausen;2014-01-01;1500;1700.0;SBB;;47.683134176, 8.62491498919;http://lod.opentransportdata.swiss/didok/8503423
MD;Moudon;2014-01-01;1200;1400.0;CFF;;46.6680516436, 6.80250491145;http://lod.opentransportdata.swiss/didok/8504120
MO;Mosen;2014-01-01;160;170.0;SBB;;47.2442873199, 8.22414905535;http://lod.opentransportdata.swiss/didok/8502029
MAER;Märstetten;2014-01-01;400;460.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5828184065, 9.0621817582;http://lod.opentransportdata.swiss/didok/8506104
MELN;Mellikon;2014-01-01;70;80.0;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5684839744, 8.35249723256;http://lod.opentransportdata.swiss/didok/8503414
MAE;Märwil;2014-01-01;220;270.0;THURBO;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5331267043, 9.06921723299;http://lod.opentransportdata.swiss/didok/8506184
MELH;Mellingen Heitersberg;2014-01-01;2500;3000.0;SBB;;47.4280718007, 8.27633859072;http://lod.opentransportdata.swiss/didok/8516219
MEGZ;Meggen Zentrum;2014-01-01;410;440.0;SBB;;47.0450427897, 8.37412430654;http://lod.opentransportdata.swiss/didok/8505018
MA;Martigny;2014-01-01;8400;9500.0;CFF;;46.1058273015, 7.07912247583;http://lod.opentransportdata.swiss/didok/8501500
MIT;Mitlödi;2014-01-01;320;360.0;SBB;;47.0101282312, 9.08119403324;http://lod.opentransportdata.swiss/didok/8503232
MTH;Monthey;2014-01-01;1900;2300.0;CFF;;46.2556458933, 6.9552285472;http://lod.opentransportdata.swiss/didok/8501421
VM;Meyrin;2014-01-01;240;320.0;CFF;;46.2223320008, 6.0769127207;http://lod.opentransportdata.swiss/didok/8501006
MIES;Mies;2014-01-01;530;650.0;CFF;;46.2998757136, 6.1695702204;http://lod.opentransportdata.swiss/didok/8501014
ZZ;Bad Zurzach;2014-01-01;1400;1600.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5883101087, 8.29556465398;http://lod.opentransportdata.swiss/didok/8503409
BD;Baden;2014-01-01;33300;39100.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.476420225, 8.3076927631;http://lod.opentransportdata.swiss/didok/8503504
BIBD;Biel/Bienne Bözingenfeld/Champ;2014-01-01;300;410.0;SBB;;47.1583882845, 7.29458712956;http://lod.opentransportdata.swiss/didok/8518771
BW;Beinwil am See;2014-01-01;940;1000.0;SBB;;47.2672189808, 8.20221962657;http://lod.opentransportdata.swiss/didok/8502034
BNZ;Benzenschwil;2014-01-01;190;220.0;SBB;;47.2468435811, 8.36559619501;http://lod.opentransportdata.swiss/didok/8502216
BOT;Bottighofen;2014-01-01;240;260.0;SBB;;47.6407078714, 9.21308178053;http://lod.opentransportdata.swiss/didok/8506127
BAL;Balerna;2014-01-01;740;920.0;FFS;;45.846756939, 9.00503477094;http://lod.opentransportdata.swiss/didok/8505306
BDR;Boudry;2014-01-01;210;230.0;CFF;;46.9594442223, 6.83504632593;http://lod.opentransportdata.swiss/didok/8504208
BAA;Baar;2014-01-01;7400;8800.0;SBB;;47.1953625991, 8.52325583517;http://lod.opentransportdata.swiss/didok/8502206
BIRR;Birr;2014-01-01;670;870.0;SBB;;47.4358394568, 8.21765486787;http://lod.opentransportdata.swiss/didok/8502247
COP;Coppet;2014-01-01;6200;7500.0;CFF;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;46.3173801033, 6.18783276927;http://lod.opentransportdata.swiss/didok/8501023
BU;Buchs SG;2014-01-01;4500;5100.0;SBB;Ohne Regionalverkehr ÖBB.;47.1684089962, 9.47862968189;http://lod.opentransportdata.swiss/didok/8509404
BRUE;Brünig-Hasliberg;2014-01-01;520;470.0;ZB;;46.7577632267, 8.13864485952;http://lod.opentransportdata.swiss/didok/8508309
BRZW;Brienz West;2014-01-01;110;120.0;ZB;;46.7573112501, 8.02036390102;http://lod.opentransportdata.swiss/didok/8508329
CBY;Collombey;2014-01-01;240;290.0;CFF;;46.2711806973, 6.94875976335;http://lod.opentransportdata.swiss/didok/8501422
CLB;Colombier;2014-01-01;300;360.0;CFF;;46.9676392173, 6.84886986434;http://lod.opentransportdata.swiss/didok/8504209
BY;Bussigny;2014-01-01;2700;3300.0;CFF;;46.5475795245, 6.55181947041;http://lod.opentransportdata.swiss/didok/8501117
CHI;Chiasso;2014-01-01;4700;5600.0;FFS;;45.8321788009, 9.03144057629;http://lod.opentransportdata.swiss/didok/8505307
BURN;Buchrain;2014-01-01;1200;1500.0;SBB;;47.0936431378, 8.35663714452;http://lod.opentransportdata.swiss/didok/8516350
BUC;Buckten;2014-01-01;150;160.0;SBB;;47.4089834328, 7.84778618088;http://lod.opentransportdata.swiss/didok/8500034
KRB;Kreuzlingen Bernrain;2014-01-01;280;340.0;THURBO;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6421167081, 9.16318719461;http://lod.opentransportdata.swiss/didok/8506197
CF;La Chaux-de-Fonds;2014-01-01;6800;8000.0;CFF;Ohne CJ und TRN.;47.0986436492, 6.82601877705;http://lod.opentransportdata.swiss/didok/8504314
KUE;Küssnacht am Rigi;2014-01-01;2300;2600.0;SBB;;47.0835940036, 8.4334940573;http://lod.opentransportdata.swiss/didok/8505002
CVN;La Conversion;2014-01-01;780;970.0;CFF;;46.513080116, 6.67832554978;http://lod.opentransportdata.swiss/didok/8504010
KRM;Kriens Mattenhof;2014-01-01;1500;1700.0;ZB;;47.0266153509, 8.30236875;http://lod.opentransportdata.swiss/didok/8516351
KBD;Koblenz Dorf;2014-01-01;440;520.0;SBB;;47.6093835703, 8.24013823513;http://lod.opentransportdata.swiss/didok/8503411
KUES;Küsnacht ZH;2014-01-01;5000;5800.0;SBB;;47.3191528026, 8.58061588761;http://lod.opentransportdata.swiss/didok/8503101
KR;Kreuzlingen;2014-01-01;8700;9400.0;SBB;;47.6525540444, 9.16906514323;http://lod.opentransportdata.swiss/didok/8506131
LSA;La Sarraz;2014-01-01;830;990.0;CFF;;46.6587767613, 6.51736524915;http://lod.opentransportdata.swiss/didok/8501108
KB;Koblenz;2014-01-01;2900;3400.0;SBB;;47.6003354815, 8.22702315842;http://lod.opentransportdata.swiss/didok/8500329
