PLZ To	PLZ Name	Count	percent	cups_pday	cups_pday_segment
1801	Chardonne	1.8571428571428572	1.0586491636671606e-05	5	1-50
1802	Corseaux	20.428571428571427	0.00011645140800338767	55	1-50
1803	Chardonne	12.714285714285714	7.247675043567484e-05	34	1-50
1804	Corsier-sur-Vevey	24.785714285714285	0.00014128894607404028	67	1-50
1805	Jongny	3.9285714285714284	2.2394501539113015e-05	11	1-50
1806	Saint-Légier-La Chiésaz	30.357142857142858	0.00017304842098405513	82	1-50
1807	Blonay	13.214285714285714	7.532695972247104e-05	36	1-50
1808	Corsier-sur-Vevey	2.5714285714285716	1.4658219189237611e-05	7	1-50
1809	Corsier-sur-Vevey	1.5	8.550627860388605e-06	4	1-50
1814	La Tour-de-Peilz	51.35714285714286	0.0002927572110294956	139	50-200
1815	Montreux	35.642857142857146	0.00020317920487304355	97	1-50
1816	Montreux	5.357142857142857	3.053795664424502e-05	15	1-50
1817	Montreux	2.4285714285714284	1.3843873678724408e-05	7	1-50
1820	Montreux Veytaux	305.7142857142857	0.001742699392498249	828	200-1k
1822	Montreux	10.285714285714286	5.8632876756950444e-05	28	1-50
1823	Montreux	9.142857142857142	5.211811267284483e-05	25	1-50
1832	Montreux	4.142857142857143	2.3616019804882817e-05	11	1-50
1844	Villeneuve (VD)	12.285714285714286	7.003371390413526e-05	33	1-50
1845	Noville	5.857142857142857	3.338816593104122e-05	16	1-50
1847	Rennaz	3.642857142857143	2.0765810518086612e-05	10	1-50
1852	Roche (VD)	1.5	8.550627860388605e-06	4	1-50
1853	Yvorne	5.142857142857143	2.9316438378475222e-05	14	1-50
1854	Leysin	4.785714285714286	2.7280574602192216e-05	13	1-50
1860	Aigle	38.142857142857146	0.00021743025130702454	103	1-50
1867	Ollon	13.285714285714286	7.573413247772766e-05	36	1-50
1868	Collombey-Muraz	11.0	6.270460430951644e-05	30	1-50
1869	Massongex	2.2142857142857144	1.262235541295461e-05	6	1-50
1870	Monthey	30.928571428571427	0.0001763058030261079	84	1-50
1872	Troistorrents	2.9285714285714284	1.669408296552061e-05	8	1-50
1873	Val-d'Illiez	2.2857142857142856	1.3029528168211207e-05	6	1-50
1874	Champéry	1.7142857142857142	9.772146126158405e-06	5	1-50
1880	Bex	15.642857142857142	8.917083340119546e-05	42	1-50
1882	Gryon	1.6428571428571428	9.364973370901806e-06	4	1-50
1884	Ollon	3.2142857142857144	1.8322773986547012e-05	9	1-50
1890	Saint-Maurice	15.357142857142858	8.754214238016905e-05	42	1-50
1892	Lavey-Morcles	3.2857142857142856	1.8729946741803612e-05	9	1-50
1893	Collombey-Muraz	5.285714285714286	3.013078388898842e-05	14	1-50
1895	Vionnaz	2.0	1.1400837147184808e-05	5	1-50
1896	Vouvry	4.285714285714286	2.4430365315396015e-05	12	1-50
1897	Port-Valais	9.357142857142858	5.333963093861464e-05	25	1-50
1898	Saint-Gingolph	9.928571428571429	5.659701298066744e-05	27	1-50
1902	Evionnaz	3.4285714285714284	1.954429225231681e-05	9	1-50
1906	Charrat	1.7857142857142858	1.0179318881415007e-05	5	1-50
1907	Saxon	3.857142857142857	2.1987328783856414e-05	10	1-50
1912	Leytron	1.5	8.550627860388605e-06	4	1-50
1920	Martigny	39.71428571428571	0.0002263880519226697	108	1-50
1925	Finhaut	1.8571428571428572	1.0586491636671606e-05	5	1-50
1926	Fully	3.9285714285714284	2.2394501539113015e-05	11	1-50
1934	Bagnes	4.428571428571429	2.524471082590922e-05	12	1-50
1936	Bagnes	5.642857142857143	3.216664766527142e-05	15	1-50
1945	Liddes	1.7857142857142858	1.0179318881415007e-05	5	1-50
1950	Sion	80.71428571428572	0.00046010521343995835	219	50-200
1955	Chamoson	2.0714285714285716	1.1808009902441408e-05	6	1-50
1958	Saint-Léonard Sion	8.571428571428571	4.886073063079203e-05	23	1-50
1962	Sion	3.142857142857143	1.791560123129041e-05	9	1-50
1963	Vétroz	8.928571428571429	5.0896594407075036e-05	24	1-50
1964	Conthey	7.928571428571429	4.5196175833482634e-05	21	1-50
1965	Savièse	4.428571428571429	2.524471082590922e-05	12	1-50
1967	Sion	3.5714285714285716	2.0358637762830015e-05	10	1-50
1971	Grimisuat	2.142857142857143	1.2215182657698007e-05	6	1-50
1973	Mont-Noble	2.2857142857142856	1.3029528168211207e-05	6	1-50
1996	Nendaz	2.5714285714285716	1.4658219189237611e-05	7	1-50
1997	Nendaz	1.9285714285714286	1.0993664391928207e-05	5	1-50
2000	Neuchâtel	455.3571428571429	0.002595726314760827	1233	200-1k
2012	Milvignes	20.357142857142854	0.00011604423524813106	55	1-50
2013	Milvignes	19.642857142857142	0.00011197250769556506	53	1-50
2014	Milvignes	7.2142857142857135	4.112444828091662e-05	20	1-50
2015	Boudry	3.2142857142857144	1.8322773986547012e-05	9	1-50
2016	Cortaillod	4.857142857142857	2.7687747357448816e-05	13	1-50
2017	Boudry	13.928571428571427	7.939868727503704e-05	38	1-50
2019	Rochefort	4.071428571428571	2.3208847049626213e-05	11	1-50
2022	La Grande Béroche	6.928571428571429	3.9495757259890225e-05	19	1-50
